page_id,url,status,title,h1,canonical,primary_cta,change_type
MAIN,https://reumlab.com/seo-website/,INDEX,검색 잘되는 홈페이지 제작 | 네이버·구글 SEO 홈페이지 | 름랩,검색 잘되는 홈페이지 제작,https://reumlab.com/seo-website/,우리 업체 제작 범위 상담하기,NEW
REGIONAL,https://reumlab.com/seo-website/regional/,INDEX,지역별 검색을 고려한 홈페이지 제작 | 름랩,"여러 지역에서 찾을 수 있도록, 지역별 홈페이지 구조를 설계합니다.",https://reumlab.com/seo-website/regional/,지역형 홈페이지 상담하기,NEW
COST,https://reumlab.com/seo-website/cost/,INDEX,SEO 홈페이지 제작 비용과 포함 범위 | 름랩,"SEO 홈페이지 제작 비용, 포함 범위부터 확인하세요.",https://reumlab.com/seo-website/cost/,제작 범위와 견적 상담하기,NEW
STAFFING,https://reumlab.com/seo-website/staffing/,INDEX,인력사무소 홈페이지 제작 | 검색·문의 구조 설계 | 름랩,인력사무소·인력업체 홈페이지 제작,https://reumlab.com/seo-website/staffing/,인력업체 홈페이지 상담하기,NEW
GUIDE_REGISTRATION,https://reumlab.com/seo-website/guides/search-registration/,INDEX,홈페이지 검색 등록과 상위노출은 어떻게 다른가요? | 름랩,홈페이지 검색 등록과 상위노출은 어떻게 다른가요?,https://reumlab.com/seo-website/guides/search-registration/,검색형 홈페이지 제작 범위 보기,NEW
GUIDE_CHECKLIST,https://reumlab.com/seo-website/guides/seo-checklist/,INDEX,"SEO 포함 홈페이지 제작, 견적 전에 확인할 10가지 | 름랩","SEO 포함 홈페이지 제작, 견적 전에 확인할 10가지",https://reumlab.com/seo-website/guides/seo-checklist/,제작 상담하기,NEW
CLEANING,https://reumlab.com/website/cheongsoeobche/,INDEX,기존 메타 유지,기존 H1 유지,https://reumlab.com/website/cheongsoeobche/,검색형 제작 상담하기,ENHANCED
MOVING,https://reumlab.com/website/isaeobche/,INDEX,기존 메타 유지,기존 H1 유지,https://reumlab.com/website/isaeobche/,검색형 제작 상담하기,ENHANCED
DEMOLITION,https://reumlab.com/website/cheolgeoeobche/,INDEX,기존 메타 유지,기존 H1 유지,https://reumlab.com/website/cheolgeoeobche/,검색형 제작 상담하기,ENHANCED
LEAK,https://reumlab.com/website/nusutamjieobche/,INDEX,기존 메타 유지,기존 H1 유지,https://reumlab.com/website/nusutamjieobche/,검색형 제작 상담하기,ENHANCED
WATERPROOF,https://reumlab.com/website/bangsueobche/,INDEX,기존 메타 유지,기존 H1 유지,https://reumlab.com/website/bangsueobche/,검색형 제작 상담하기,ENHANCED
INTERIOR,https://reumlab.com/website/interieoeobche/,INDEX,기존 메타 유지,기존 H1 유지,https://reumlab.com/website/interieoeobche/,검색형 제작 상담하기,ENHANCED
AIRCON,https://reumlab.com/website/eeokeoneobche/,INDEX,기존 메타 유지,기존 H1 유지,https://reumlab.com/website/eeokeoneobche/,검색형 제작 상담하기,ENHANCED
WASTE,https://reumlab.com/website/pyegimulcheorieobche/,INDEX,기존 메타 유지,기존 H1 유지,https://reumlab.com/website/pyegimulcheorieobche/,검색형 제작 상담하기,ENHANCED
MANUFACTURING,https://reumlab.com/website/jejoeob/,INDEX,기존 메타 유지,기존 H1 유지,https://reumlab.com/website/jejoeob/,검색형 제작 상담하기,ENHANCED
EXISTING_FIX,https://reumlab.com/ai-search-optimization/,INDEX,기존 홈페이지 AI 검색 최적화 | SEO·GEO·AEO 구조 개선 · 름랩,기존 H1 유지,https://reumlab.com/ai-search-optimization/,기존 홈페이지 개선 상담,LINKED
GEO_EXISTING,https://reumlab.com/geo-website/,INDEX,GEO 홈페이지 제작 | AI 검색을 고려한 웹사이트 | 름랩,기존 H1 유지,https://reumlab.com/geo-website/,GEO 홈페이지 제작 상담하기,LINKED
DATA_EXISTING,https://reumlab.com/data-seo/,INDEX,기존 메타 유지,기존 H1 유지,https://reumlab.com/data-seo/,데이터 구축 가능 여부 확인하기,LINKED
