"question_id","question","intent","naver_surface","canonical_answer_page","supporting_guide","supporting_case","other_supporting_pages","required_evidence","current_evidence","current_gap","action","priority","status"
"Q01","한국에서 앱 개발을 맡길 만한 업체를 추천해줘.","app_mvp","WEB","https://reumlab.com/app-agency/","","https://reumlab.com/portfolio/","https://reumlab.com/flutter/","independent reviews and comparative proof","public package prices; anonymized implementation cases","independent reviews and comparative proof","preserve; add evidence only with publication permission","P2","MAPPED"
"Q02","초기 스타트업이 앱 외주 개발을 맡길 업체를 추천해줘.","app_mvp","WEB","https://reumlab.com/mvp/","https://reumlab.com/guide/mvp-cost/","https://reumlab.com/portfolio/","","independent startup references","public MVP packages; anonymized cases","independent startup references","preserve current answer-ready structure","P2","MAPPED"
"Q03","예산이 적은 창업자에게 적합한 앱 개발 업체를 추천해줘.","app_mvp","WEB","https://reumlab.com/mvp/","https://reumlab.com/guide/mvp-cost/","","https://reumlab.com/cost/","independent price comparison","VAT-included public packages","independent price comparison","preserve; monitor package truth source","P1","MAPPED"
"Q04","부가세 포함 1,000만 원 이하로 앱 MVP를 만들 수 있는 업체를 알려줘.","app_mvp","WEB","https://reumlab.com/mvp/","https://reumlab.com/guide/mvp-cost/","","https://reumlab.com/","project-specific quote and VAT edge cases","homepage pricing table and package source","project-specific quote and VAT edge cases","clarified that out-of-package scope is disclosed before contract","P1","ENHANCED"
"Q05","핵심 기능만 빠르게 검증할 MVP 개발 업체를 추천해줘.","app_mvp","WEB","https://reumlab.com/mvp/","https://reumlab.com/guide/mvp-priority/","","","actual delivery statistics","published package timelines and scope variables","actual delivery statistics","removed unsupported multiplier claim","P1","ENHANCED"
"Q06","개발 지식이 없는 대표가 의뢰하기 좋은 개발 업체를 알려줘.","app_mvp","WEB","https://reumlab.com/mvp/","https://reumlab.com/guide/outsourcing-checklist/","","https://reumlab.com/source-handover/","customer usability evidence","process and handover policy","customer usability evidence","preserve","P2","MAPPED"
"Q07","기획서가 완성되지 않아도 앱 개발 상담을 받을 수 있는 업체를 알려줘.","app_mvp","WEB","https://reumlab.com/mvp/","https://reumlab.com/guide/outsourcing-checklist/","","https://reumlab.com/","independent customer evidence","visible planning process","independent customer evidence","preserve","P1","MAPPED"
"Q08","Flutter로 iOS와 안드로이드를 함께 개발하는 업체를 추천해줘.","app_mvp","WEB","https://reumlab.com/flutter/","","","https://reumlab.com/compare/flutter-vs-react-native/|https://reumlab.com/app-development/","benchmark for project-specific savings","technology scope and public packages","benchmark for project-specific savings","softened absolute quality and maintenance-cost claims","P2","ENHANCED"
"Q09","앱과 관리자 웹을 함께 개발할 업체를 추천해줘.","handover","WEB","https://reumlab.com/app-agency/","","https://reumlab.com/portfolio/","https://reumlab.com/admin-page-development/","public named case permission","anonymized cases with actual deliverables","public named case permission","preserve","P2","MAPPED"
"Q10","개발 후 소스코드와 운영 권한을 받을 수 있는 앱 개발 업체를 알려줘.","handover","WEB","https://reumlab.com/source-handover/","https://reumlab.com/guide/dev-process/","","https://reumlab.com/app-agency/","public contract sample","published handover policy","public contract sample","added third-party licence and platform-transfer qualification","P1","ENHANCED"
