"url","primary_intent","direct_answer","verified_facts","original_evidence","decision_support","limitations_disclosed","content_uniqueness","semantic_structure","internal_links","structured_data","freshness_accuracy","conversion_path","priority","action"
"https://reumlab.com/academy-shopping-mall/","service_or_hub","yes","entity-schema-checked","moderate","yes","yes","exact-unique","valid-h1","29","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","not-date-bearing","yes","P1","retain and monitor"
"https://reumlab.com/admin-page-development/","service_or_hub","yes","entity-schema-checked","moderate","yes","yes","exact-unique","valid-h1","35","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","not-date-bearing","yes","P1","retain and monitor"
"https://reumlab.com/ai-automation/","service_or_hub","yes","entity-schema-checked","moderate","yes","yes","exact-unique","valid-h1","26","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","not-date-bearing","yes","P1","retain and monitor"
"https://reumlab.com/ai-development/dongtan/","region_service","yes","entity-schema-checked","templated-review","yes","review","exact-unique","valid-h1","39","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","not-date-bearing","yes","P2-monitor","retain index gate; add only verified evidence"
"https://reumlab.com/ai-development/hwaseong/","region_service","yes","entity-schema-checked","templated-review","yes","review","exact-unique","valid-h1","39","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","not-date-bearing","yes","P2-monitor","retain index gate; add only verified evidence"
"https://reumlab.com/ai-development/","service_or_hub","yes","entity-schema-checked","moderate","yes","yes","exact-unique","valid-h1","41","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","not-date-bearing","yes","P1","retain and monitor"
"https://reumlab.com/ai-development/suwon/","region_service","yes","entity-schema-checked","templated-review","yes","review","exact-unique","valid-h1","39","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","not-date-bearing","yes","P2-monitor","retain index gate; add only verified evidence"
"https://reumlab.com/app/academy/","industry_service","yes","entity-schema-checked","templated-review","yes","review","exact-unique","valid-h1","41","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","not-date-bearing","yes","P2-monitor","retain index gate; add only verified evidence"
"https://reumlab.com/app/agriculture/","industry_service","yes","entity-schema-checked","templated-review","yes","review","exact-unique","valid-h1","40","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","not-date-bearing","yes","P2-monitor","retain index gate; add only verified evidence"
"https://reumlab.com/app/animal-hospital/","industry_service","yes","entity-schema-checked","templated-review","yes","review","exact-unique","valid-h1","40","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","not-date-bearing","yes","P2-monitor","retain index gate; add only verified evidence"
