"prompt_id","intent_group","primary_target_url","supporting_urls","current_answer_location","missing_information","available_evidence","content_change_needed","internal_link_change","overlap_risk","priority","status"
"Q01","app_mvp","https://reumlab.com/app-agency/","https://reumlab.com/flutter/|https://reumlab.com/portfolio/","hero; 범위·비용·이관 섹션","independent reviews and comparative proof","public package prices; anonymized implementation cases","preserve; add evidence only with publication permission","none","/app-development/ has English-search role; keep intent boundary","P2","MAPPED"
"Q02","app_mvp","https://reumlab.com/mvp/","https://reumlab.com/guide/mvp-cost/|https://reumlab.com/portfolio/","hero; MVP 범위 결정표; 사례; 가격","independent startup references","public MVP packages; anonymized cases","preserve current answer-ready structure","none","/app-agency/ supports broader vendor intent","P2","MAPPED"
"Q03","app_mvp","https://reumlab.com/mvp/","https://reumlab.com/guide/mvp-cost/|https://reumlab.com/cost/","가격표; 넣을 기능/미룰 기능","independent price comparison","VAT-included public packages","preserve; monitor package truth source","none","budget intent also appears in cost guides but roles differ","P1","MAPPED"
"Q04","app_mvp","https://reumlab.com/mvp/","https://reumlab.com/guide/mvp-cost/|https://reumlab.com/","app light 580만원; app standard 980만원; included/excluded scope","project-specific quote and VAT edge cases","homepage pricing table and package source","clarified that out-of-package scope is disclosed before contract","none","guide is informational; service page is transactional","P1","ENHANCED"
"Q05","app_mvp","https://reumlab.com/mvp/","https://reumlab.com/guide/mvp-priority/|https://reumlab.com/guide/app-duration/","MVP 범위 결정표; 14~30일 조건","actual delivery statistics","published package timelines and scope variables","removed unsupported multiplier claim","none","none detected","P1","ENHANCED"
"Q06","app_mvp","https://reumlab.com/mvp/","https://reumlab.com/guide/outsourcing-checklist/|https://reumlab.com/source-handover/","fit; process; handover; consultation start","customer usability evidence","process and handover policy","preserve","none","none detected","P2","MAPPED"
"Q07","app_mvp","https://reumlab.com/mvp/","https://reumlab.com/guide/outsourcing-checklist/|https://reumlab.com/","hero; FAQ; form hint","independent customer evidence","visible planning process","preserve","none","same fact appears on home by design","P1","MAPPED"
"Q08","app_mvp","https://reumlab.com/flutter/","https://reumlab.com/compare/flutter-vs-react-native/|https://reumlab.com/app-development/","fit/not-fit; price; timeline; deliverables","benchmark for project-specific savings","technology scope and public packages","softened absolute quality and maintenance-cost claims","none","/flutter-development/ serves English intent","P2","ENHANCED"
"Q09","handover","https://reumlab.com/app-agency/","https://reumlab.com/admin-page-development/|https://reumlab.com/portfolio/","app + admin scope; cases","public named case permission","anonymized cases with actual deliverables","preserve","none","admin page has narrower operator intent","P2","MAPPED"
"Q10","handover","https://reumlab.com/source-handover/","https://reumlab.com/guide/dev-process/|https://reumlab.com/app-agency/","handover scope; contract exceptions; FAQ","public contract sample","published handover policy","added third-party licence and platform-transfer qualification","none","none detected","P1","ENHANCED"
"Q11","handover","https://reumlab.com/maintenance/","https://reumlab.com/source-handover/|https://reumlab.com/guide/dev-process/","maintenance options and non-mandatory monthly contract","actual support SLA by contract","published policy","preserve","none","source handover supports ownership intent","P2","MAPPED"
"Q12","handover","https://reumlab.com/source-handover/","https://reumlab.com/guide/dev-process/|https://reumlab.com/maintenance/","repository; deployment documentation; transfer constraints","public contract sample","published transfer scope","qualified transferable accounts and licences","none","none detected","P1","ENHANCED"
"Q13","handover","https://reumlab.com/maintenance/","https://reumlab.com/service-renewal/|https://reumlab.com/portfolio/","existing-service review and maintenance process","response-time statistics","service scope","preserve","none","renewal is larger-scope intent","P2","MAPPED"
"Q14","handover","https://reumlab.com/service-renewal/","https://reumlab.com/source-handover/|https://reumlab.com/maintenance/","access audit; takeover limits; process","public takeover case","review prerequisites","preserve","none","maintenance supports post-takeover work","P2","MAPPED"
"Q15","handover","https://reumlab.com/source-handover/","https://reumlab.com/service-renewal/|https://reumlab.com/guide/dev-process/","transfer checklist and exceptions","third-party account-specific policy","published generic scope","added licence/platform qualification","none","none detected","P1","ENHANCED"
"Q16","handover","https://reumlab.com/geo-website/","https://reumlab.com/service-renewal/|https://reumlab.com/guide/outsourcing-checklist/","existing asset inventory; redirects; canonical; measurement","public migration outcome case","current site-preservation method","preserve","none","service-renewal is broader product renewal","P2","MAPPED"
"Q17","business_systems","https://reumlab.com/mvp/","https://reumlab.com/platform/|https://reumlab.com/portfolio/soho-saas/","SaaS MVP fit; price; case","named SaaS publication permission","anonymized actual case","preserve","none","platform is multi-sided intent","P2","MAPPED"
"Q18","business_systems","https://reumlab.com/erp/","https://reumlab.com/guide/erp-cost/|https://reumlab.com/portfolio/edu-erp/","workflow; roles; migration; case","quantified efficiency outcome","actual deliverables without invented result","preserve","none","none detected","P2","MAPPED"
