"page","claim","claim_type","evidence_source","repository_source","public_source","verified","last_verified","action","notes"
"/","브랜드명은 름랩이며 영문 표기는 REUMLAB이다","entity","공개 홈·전역 설정 일치","lib/seo.ts; index.html","https://reumlab.com/","yes","2026-09-10","retain","Organization/WebSite와 화면 표기를 같은 원본으로 관리"
"/","주소는 경기도 화성시 동탄첨단산업1로 58, 307호(영천동)이다","entity","공개 푸터·정책·전역 설정 일치","lib/seo.ts; components/BusinessFooter.tsx","https://reumlab.com/","yes","2026-09-10","owner recheck external profiles","외부 지도/플레이스는 소유자 계정에서 재확인"
"/","전화는 010-8111-9370이고 이메일은 ceo@eternalsix.com이다","entity","공개 CTA·푸터·전역 설정 일치","lib/seo.ts; index.html","https://reumlab.com/","yes","2026-09-10","retain","전 페이지 NAP 검사 통과"
"/","웹 패키지는 98만 원부터, 앱 패키지는 580만 원부터다","pricing","홈 VAT 포함 요금표","lib/pricing.ts; index.html","https://reumlab.com/","yes","2026-09-10","retain and verify on price changes","프로모션은 /soho/에 별도 표기"
"/","웹 스타터 약 5일, 앱 라이트 MVP 약 14일 등 패키지 기간을 공개한다","duration","홈 요금표","lib/pricing.ts; index.html","https://reumlab.com/","yes","2026-09-10","retain with limitations","실제 일정은 범위·심사·외부 연동에 따라 달라질 수 있음"
"/source-handover/","완성 후 소스코드와 운영 권한을 이관한다","delivery_policy","서비스 본문·홈 절차","lib/seo.ts; index.html","https://reumlab.com/source-handover/","yes","2026-09-10","retain","구체 범위는 계약별 확인"
"/portfolio/","공개 익명 사례는 15건이다","portfolio_count","포트폴리오 원본과 생성 결과","lib/portfolio.ts; content/portfolio.json","https://reumlab.com/portfolio/","yes","2026-09-10","do not generalize to total projects","전체 수행 프로젝트 수라는 뜻이 아님"
"/portfolio/","사례는 고객 식별 정보와 근거 없는 성과 수치를 공개하지 않는다","editorial_policy","사례 원본·자동 금지신호 검사","lib/portfolio.ts; scripts/verify-portfolio.mjs","https://reumlab.com/portfolio/","yes","2026-09-10","retain","공개 가능한 납품 범위 중심"
"/enterprise-ai/","기업용 AI의 가능 범위와 아직 수행하지 않은 영역을 구분한다","limitation","화면 본문","lib/enterprise-ai.ts","https://reumlab.com/enterprise-ai/","yes","2026-09-10","retain and update only with evidence","새 수행 경험을 추정하지 않음"
"/","동탄·화성·수원을 거점으로 전국 비대면 진행한다","service_area","전역 설명·공개 홈","lib/seo.ts; index.html","https://reumlab.com/","yes","2026-09-10","owner confirm visit policy","다른 지역 사무실을 뜻하지 않음"
"/","대표자는 성아름이고 사업자등록번호는 793-12-03247이다","business_identity","공개 푸터·정책·전역 설정 일치","lib/seo.ts; components/BusinessFooter.tsx","https://reumlab.com/","repository-consistent","2026-09-10","owner verify against registration","대표자를 founder로 표시하지 않음"
