"query","intent","target audience","current canonical","page type","funnel stage","duplicate URL","recommendation"
"학원 운영에 맞춘 수강신청·결제 쇼핑몰 제작","service_or_hub","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/academy-shopping-mall/","service_or_hub","BOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","IMPROVE"
"관리자 페이지 개발 — 엑셀·수기 관리를 어드민 한 화면으로","service_or_hub","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/admin-page-development/","service_or_hub","BOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","IMPROVE"
"AI 업무 자동화 개발 사람이 반복하던 일을 AI가 처리하는 흐름으로","service_or_hub","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/ai-automation/","service_or_hub","BOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","IMPROVE"
"동탄 AI 외주개발","region_service","해당 지역에서 개발사를 찾는 사업자","https://reumlab.com/ai-development/dongtan/","region_service","BOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"화성 AI 외주개발","region_service","해당 지역에서 개발사를 찾는 사업자","https://reumlab.com/ai-development/hwaseong/","region_service","BOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"AI 외주개발","service_or_hub","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/ai-development/","service_or_hub","BOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","IMPROVE"
"수원 AI 외주개발","region_service","해당 지역에서 개발사를 찾는 사업자","https://reumlab.com/ai-development/suwon/","region_service","BOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"학원·교육 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/academy/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"농업·산지직거래 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/agriculture/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"동물병원 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/animal-hospital/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"미술학원 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/art-academy/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"B2B SaaS·업무툴 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/b2b-saas/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"베이커리·디저트 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/bakery/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"당구장·볼링장 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/billiards/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"예약(미용·네일·공방) 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/booking/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"서점·북카페 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/bookstore/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"정육·수산 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/butcher/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"카페 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/cafe/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"캠핑·글램핑 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/camping/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"자동차정비 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/car-repair/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"세차·디테일링 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/car-wash/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
"케이터링·출장뷔페 앱 개발","industry_service","앱·웹·AI 개발 파트너를 찾는 사업자와 실무자","https://reumlab.com/app/catering/","industry_service","TOFU/MOFU","NONE_BY_EXACT_H1_STATIC_AUDIT","MONITOR"
